,Year,Citations
0,2015,825
1,2015,441
2,2015,91
3,2015,38
4,2015,61
5,2015,41
6,2015,39
7,2015,30
8,2015,12
9,2015,9
10,2015,7
11,2015,4
12,2015,1
13,2015,1
14,2015,0
15,2015,0
16,2015,0
17,2015,0
18,2016,215
19,2016,2121
20,2016,1552
21,2016,1469
22,2016,223
23,2016,1160
24,2016,1368
25,2016,1014
26,2016,827
27,2016,524
28,2016,428
29,2016,373
30,2016,353
31,2016,362
32,2016,314
33,2016,285
34,2016,273
35,2016,215
36,2016,218
37,2016,221
38,2016,185
39,2016,157
40,2016,155
41,2016,134
42,2016,150
43,2016,124
44,2016,112
45,2016,97
46,2016,93
47,2016,93
48,2016,92
49,2016,85
50,2016,85
51,2016,73
52,2016,67
53,2016,65
54,2016,53
55,2016,50
56,2016,41
57,2016,41
58,2016,44
59,2016,40
60,2016,38
61,2016,49
62,2016,37
63,2016,38
64,2016,38
65,2016,34
66,2016,31
67,2016,41
68,2016,29
69,2016,20
70,2016,20
71,2016,23
72,2016,21
73,2016,19
74,2016,13
75,2016,13
76,2016,12
77,2016,12
78,2016,10
79,2016,9
80,2016,15
81,2016,9
82,2016,6
83,2016,6
84,2016,4
85,2016,4
86,2016,3
87,2016,3
88,2016,3
89,2016,3
90,2016,2
91,2016,2
92,2016,1
93,2016,0
94,2016,0
95,2016,0
96,2016,0
97,2016,0
98,2016,1
99,2016,0
100,2016,0
101,2016,0
102,2016,0
103,2016,0
104,2016,0
105,2016,0
106,2016,0
107,2016,0
108,2016,3
109,2016,0
110,2016,0
111,2016,0
112,2016,0
113,2017,1939
114,2017,516
115,2017,2506
116,2017,2694
117,2017,912
118,2017,708
119,2017,563
120,2017,572
121,2017,409
122,2017,426
123,2017,562
124,2017,395
125,2017,322
126,2017,332
127,2017,330
128,2017,282
129,2017,490
130,2017,214
131,2017,238
132,2017,220
133,2017,235
134,2017,219
135,2017,190
136,2017,381
137,2017,218
138,2017,219
139,2017,160
140,2017,153
141,2017,153
142,2017,164
143,2017,160
144,2017,154
145,2017,172
146,2017,153
147,2017,148
148,2017,140
149,2017,129
150,2017,139
151,2017,134
152,2017,120
153,2017,126
154,2017,130
155,2017,112
156,2017,113
157,2017,111
158,2017,119
159,2017,113
160,2017,110
161,2017,104
162,2017,99
163,2017,99
164,2017,98
165,2017,81
166,2017,81
167,2017,83
168,2017,83
169,2017,91
170,2017,76
171,2017,70
172,2017,83
173,2017,69
174,2017,70
175,2017,63
176,2017,66
177,2017,61
178,2017,74
179,2017,65
180,2017,61
181,2017,59
182,2017,95
183,2017,67
184,2017,58
185,2017,60
186,2017,74
187,2017,81
188,2017,55
189,2017,49
190,2017,56
191,2017,54
192,2017,49
193,2017,45
194,2017,52
195,2017,45
196,2017,49
197,2017,52
198,2017,48
199,2017,41
200,2017,43
201,2017,42
202,2017,46
203,2017,40
204,2017,44
205,2017,44
206,2017,45
207,2017,36
208,2017,35
209,2017,34
210,2017,35
211,2017,41
212,2017,33
213,2017,32
214,2017,29
215,2017,30
216,2017,27
217,2017,31
218,2017,32
219,2017,28
220,2017,25
221,2017,27
222,2017,27
223,2017,26
224,2017,20
225,2017,23
226,2017,20
227,2017,15
228,2017,19
229,2017,21
230,2017,16
231,2017,18
232,2017,14
233,2017,15
234,2017,14
235,2017,13
236,2017,16
237,2017,15
238,2017,13
239,2017,12
240,2017,10
241,2017,11
242,2017,9
243,2017,8
244,2017,7
245,2017,9
246,2017,8
247,2017,7
248,2017,7
249,2017,7
250,2017,7
251,2017,7
252,2017,7
253,2017,6
254,2017,6
255,2017,5
256,2017,6
257,2017,5
258,2017,5
259,2017,4
260,2017,4
